table,rows,cols,date_min,date_max,max_missing_pct
order_items,714669,7,,,0.9997117546724428
orders,646945,8,2012-07-04,2022-12-31,0.0
payments,646945,4,,,0.0
shipments,566067,4,2012-07-04,2022-12-31,0.0
customers,121930,7,2012-01-17,2022-12-31,0.0
reviews,113551,7,2012-07-10,2022-12-31,0.0
inventory,60247,17,2012-07-31,2022-12-31,0.0
geography,39948,4,,,0.0
returns,39939,7,2012-07-11,2022-12-31,0.0
sales,3833,3,2012-07-04,2022-12-31,0.0
web_traffic,3652,7,2013-01-01,2022-12-31,0.0
products,2412,8,,,0.0
promotions,50,10,2013-01-31,2022-12-31,0.8
