rank,feature,group,mean_abs_shap,gain
1,forecast_year,calendar_seasonality,0.30561330811036547,75834.78990101814
2,Revenue_doy_mean_cutoff,calendar_seasonality,0.1295461245664574,64615.27233529091
3,Revenue_forecast_lag730_known,target_lag,0.1222310800373303,78706.13693881035
4,COGS_doy_mean_cutoff,calendar_seasonality,0.1164587347395163,61311.4447016716
5,COGS_doy_to_recent,calendar_seasonality,0.115732786748816,64194.08736085892
6,Revenue_doy_to_recent,calendar_seasonality,0.0759997469227214,38256.72411203384
7,day,calendar_seasonality,0.0630443596760161,40860.17368721962
8,COGS_forecast_lag730_known,target_lag,0.0444960413128066,45148.461953401566
9,Revenue_anchor_2y_ratio730,target_lag,0.0419896495151143,10452.840924739838
10,COGS_anchor_2y_ratio730,target_lag,0.0367529094793634,10573.78774356842
11,cos_week_1,calendar_seasonality,0.03517735026054,52399.28901839256
12,cutoff_year,regime_level,0.0339801509846307,9392.148361206055
13,sin_week_1,calendar_seasonality,0.0334011511596618,59463.51042032242
14,hol_days_since_womens_day_mar8,holiday_event,0.0304825176159313,8630.479106426239
15,Revenue_month_dow_mean_cutoff,calendar_seasonality,0.0295435173190116,19899.858444213867
16,dow,calendar_seasonality,0.0268703291367606,9720.629368305206
17,COGS_doy_median_cutoff,calendar_seasonality,0.0262226934514711,23683.8517780304
18,COGS_forecast_lag365_known,target_lag,0.0250896657923058,29740.045120239258
19,hol_days_to_valentine,holiday_event,0.0235432768950933,4942.692062854767
20,COGS_month_dow_mean_cutoff,calendar_seasonality,0.0218253490048317,20177.61851620674
21,COGS_forecast_lag364_known,target_lag,0.0205710585818181,31446.77216601372
22,Revenue_doy_median_cutoff,calendar_seasonality,0.0190649721746566,21169.328961610798
23,hol_days_since_singles_day_1111,holiday_event,0.0180412059565851,5240.9705991744995
24,hol_days_to_national_day,holiday_event,0.017584217985252698,9390.867260694504
25,hol_days_since_teachers_day,holiday_event,0.0155526916612991,5201.642591953278
26,sin_week_2,calendar_seasonality,0.0147790780710615,48083.612451553345
27,cos_year_6,calendar_seasonality,0.0146067360898927,28719.3425886631
28,sin_year_6,calendar_seasonality,0.0118907378604423,38587.075105667114
29,Revenue_forecast_lag365_known,target_lag,0.0110327335487369,22463.82885980606
30,Revenue_forecast_lag364_known,target_lag,0.0108885422187456,24502.333499908447
