review_title,share
Highly recommend,0.10244638289499573
Very satisfied,0.10103626943005181
Great quality,0.09979012264707811
Excellent product!,0.09844559585492228
Happy with purchase,0.07962222076474061
Good overall,0.07916311405522398
Solid choice,0.07906473404604185
Works well,0.0787368006821014
"Decent, nothing special",0.05148553813865023
Mixed feelings,0.04968190463697777
Average product,0.04873089788155047
Some issues,0.027054502525086902
Below expectations,0.02695612251590477
Would not reorder,0.026333049124417918
Very disappointed,0.013609234603528563
Would not recommend,0.013051747884829802
Not as described,0.012854987866465535
Poor quality,0.011936774447432281
