Target,Model,Fold,MAE,RMSE,R2
Revenue,Recursive LGBM (9-model bag),fold_2020_2021,674036.381,938138.407,0.6358
Revenue,Seasonal Naive (lag-364),fold_2020_2021,826910.0599,1191580.8023,0.4125
Revenue,DoY Climatology Mean,fold_2020_2021,699267.798,956291.5357,0.6216
Revenue,Recursive LGBM (9-model bag),fold_2021_2022,652067.6632,887807.0041,0.6742
Revenue,Seasonal Naive (lag-364),fold_2021_2022,830325.3369,1246150.3033,0.3582
Revenue,DoY Climatology Mean,fold_2021_2022,665890.2797,910510.1406,0.6573
COGS,Recursive LGBM (9-model bag),fold_2020_2021,571026.751,793708.6103,0.6519
COGS,Seasonal Naive (lag-364),fold_2020_2021,753014.9265,1120289.0536,0.3065
COGS,DoY Climatology Mean,fold_2020_2021,602855.9579,836926.8288,0.6129
COGS,Recursive LGBM (9-model bag),fold_2021_2022,578896.4656,789855.3025,0.6681
COGS,Seasonal Naive (lag-364),fold_2021_2022,704070.3904,1045773.7444,0.4183
COGS,DoY Climatology Mean,fold_2021_2022,585703.3112,799746.5503,0.6598
Revenue,Recursive LGBM Ensemble (CV-weighted),fold_2020_2021,632836.4528,886654.1703,0.6747
Revenue,Recursive LGBM Ensemble (CV-weighted),fold_2021_2022,630715.2257,871469.8424,0.6861
COGS,Recursive LGBM Ensemble (CV-weighted),fold_2020_2021,547419.0432,763531.476,0.6779
COGS,Recursive LGBM Ensemble (CV-weighted),fold_2021_2022,547381.6877,754236.3903,0.6974
Revenue,Direct LGBM Only,2020-06-30,528580.7853,800948.2612,0.7345
Revenue,Direct Ridge Only,2020-06-30,2479777.2072,2876757.7601,-2.4245
Revenue,DoY Prior Baseline,2020-06-30,1517741.7918,1833965.4183,-0.3918
Revenue,Direct LGBM Only,2020-12-31,601202.4852,861855.4936,0.7612
Revenue,Direct Ridge Only,2020-12-31,2849043.9834,3274444.7423,-2.4474
Revenue,DoY Prior Baseline,2020-12-31,1305268.0981,1684277.8401,0.0879
Revenue,Direct LGBM Only,2021-07-01,441182.1068,664637.8063,0.8168
Revenue,Direct Ridge Only,2021-07-01,677452.739,961441.6877,0.6167
Revenue,DoY Prior Baseline,2021-07-01,899249.6625,1195172.8107,0.4077
Revenue,Direct LGBM+Ridge Ensemble,all_oof,503011.7524,733825.3934,0.7994
COGS,Direct LGBM Only,2020-06-30,435556.5283,650610.7007,0.7661
COGS,Direct Ridge Only,2020-06-30,1994446.3549,2313638.6971,-1.958
COGS,DoY Prior Baseline,2020-06-30,1290189.6079,1557013.4944,-0.3396
COGS,Direct LGBM Only,2020-12-31,535902.07,761583.2385,0.7568
COGS,Direct Ridge Only,2020-12-31,2262263.0895,2610749.2938,-1.8584
COGS,DoY Prior Baseline,2020-12-31,1027204.7306,1338314.3198,0.2489
COGS,Direct LGBM Only,2021-07-01,386234.8724,566306.631,0.8285
COGS,Direct Ridge Only,2021-07-01,544512.7872,744370.105,0.7036
COGS,DoY Prior Baseline,2021-07-01,756748.3719,1009937.4557,0.4544
COGS,Direct LGBM+Ridge Ensemble,all_oof,441594.5303,633896.7034,0.8038
